"","state","letter_rating","overall_rank_method0","overall_rank_method1","overall_rank_method2","overall_rank_method3","report_26th_rank"
"1","Alabama","A-",12,NA,14,12,NA
"2","Alabama","B+",NA,18,NA,NA,NA
"3","Alabama","B-",NA,NA,NA,NA,28
"4","Alaska","D",50,50,50,50,48
"5","Arizona","B+",19,20,16,NA,NA
"6","Arizona","B",NA,NA,NA,22,NA
"7","Arizona","B-",NA,NA,NA,NA,29
"8","Arkansas","B+",20,NA,20,NA,17
"9","Arkansas","B",NA,22,NA,NA,NA
"10","Arkansas","A-",NA,NA,NA,15,NA
"11","California","C-",43,43,NA,NA,45
"12","California","C",NA,NA,39,NA,NA
"13","California","D",NA,NA,NA,49,NA
"14","Colorado","C-",41,NA,NA,43,NA
"15","Colorado","C",NA,39,NA,NA,37
"16","Colorado","C+",NA,NA,33,NA,NA
"17","Connecticut","A",8,NA,NA,7,NA
"18","Connecticut","A+",NA,2,3,NA,NA
"19","Connecticut","C+",NA,NA,NA,NA,31
"20","Delaware","D",49,49,47,NA,NA
"21","Delaware","B-",NA,NA,NA,30,NA
"22","Delaware","C-",NA,NA,NA,NA,44
"23","Florida","A",7,7,NA,10,NA
"24","Florida","A+",NA,NA,4,NA,NA
"25","Florida","C-",NA,NA,NA,NA,41
"26","Georgia","A+",2,4,2,5,NA
"27","Georgia","A-",NA,NA,NA,NA,14
"28","Hawaii","D",48,47,NA,48,47
"29","Hawaii","C-",NA,NA,45,NA,NA
"30","Idaho","B-",30,29,NA,NA,NA
"31","Idaho","C+",NA,NA,31,NA,NA
"32","Idaho","C",NA,NA,NA,36,NA
"33","Idaho","A",NA,NA,NA,NA,8
"34","Illinois","C+",34,35,NA,NA,NA
"35","Illinois","B-",NA,NA,26,27,NA
"36","Illinois","C",NA,NA,NA,NA,40
"37","Indiana","B",22,24,23,24,NA
"38","Indiana","C+",NA,NA,NA,NA,32
"39","Iowa","C+",33,NA,35,33,NA
"40","Iowa","C",NA,36,NA,NA,NA
"41","Iowa","B",NA,NA,NA,NA,22
"42","Kansas","A",9,10,NA,NA,7
